행 ID,주문 ID,주문 날짜,배송 날짜,배송 형태,고객 ID,고객 이름,세그먼트,도시,시/도,국가/지역,지역,제품 ID,범주,하위 범주,제품 이름,매출,수량,할인율,수익
13,ID-2018-65117,2018-07-12,2018-07-16,표준 등급,SW-20245,Scot Wooten,일반 소비자,Manila,Metro Manila,Philippines,동남아시아,TEC-PH-10001354,기술,전화기,"Motorola Speaker Phone, Full Size",589.815,6,0.25,23.535
14,ID-2018-65117,2018-07-12,2018-07-16,표준 등급,SW-20245,Scot Wooten,일반 소비자,Manila,Metro Manila,Philippines,동남아시아,OFF-BI-10000089,사무용품,바인더,"Wilson Jones 3-Hole Punch, Recycled",216.8775,9,0.15,86.7375
15,ID-2018-65117,2018-07-12,2018-07-16,표준 등급,SW-20245,Scot Wooten,일반 소비자,Manila,Metro Manila,Philippines,동남아시아,OFF-EN-10003463,사무용품,봉투,"Jiffy Peel and Seal, Recycled",51.7275,5,0.45,-5.7225
16,ID-2018-65117,2018-07-12,2018-07-16,표준 등급,SW-20245,Scot Wooten,일반 소비자,Manila,Metro Manila,Philippines,동남아시아,FUR-CH-10001871,가구,의자,"Harbour Creations Steel Folding Chair, Set of Two",600.84,8,0.25,-152.28
17,ID-2021-39084,2021-06-13,2021-06-17,표준 등급,PO-18865,Patrick O'Donnell,일반 소비자,Valencia,Bukidnon,Philippines,동남아시아,TEC-CO-10000666,기술,복사기,"Hewlett Copy Machine, Laser",684.606,4,0.35,-63.234
18,ID-2021-44908,2021-02-27,2021-03-04,표준 등급,AI-10855,Arianne Irving,일반 소비자,Bandung,Jawa Barat,Indonesia,동남아시아,OFF-SU-10004848,사무용품,사무용품,"Kleencut Shears, High Speed",123.9405,5,0.47,-84.2595
19,ID-2021-44908,2021-02-27,2021-03-04,표준 등급,AI-10855,Arianne Irving,일반 소비자,Bandung,Jawa Barat,Indonesia,동남아시아,OFF-PA-10003332,사무용품,용지,"Xerox Cards & Envelopes, Recycled",47.5728,2,0.47,-15.3072
20,ID-2019-73146,2019-10-25,2019-10-31,표준 등급,HM-14980,Henry MacAllister,일반 소비자,Denpasar,Bali,Indonesia,동남아시아,OFF-AP-10000487,사무용품,가전 제품,"Hoover Stove, Silver",1417.3578,3,0.17,-290.3022
21,ID-2019-73146,2019-10-25,2019-10-31,표준 등급,HM-14980,Henry MacAllister,일반 소비자,Denpasar,Bali,Indonesia,동남아시아,OFF-LA-10000095,사무용품,레이블,"Avery Round Labels, Laser Printer Compatible",22.7052,6,0.47,-4.2948
22,ID-2021-62926,2021-09-18,2021-09-19,1등급,MC-18100,Mick Crebagga,일반 소비자,Makati,Metro Manila,Philippines,동남아시아,TEC-MA-10003553,기술,사무기기,"Epson Printer, Red",389.655,2,0.25,-83.145
23,ID-2021-64914,2021-03-27,2021-03-28,1등급,AS-10285,Alejandro Savely,기업,Fushun,Liaoning,China,북아시아,FUR-TA-10000147,가구,테이블,"Lesro Coffee Table, Rectangular",1048.194,6,0.3,-284.526
24,ID-2019-57809,2019-10-10,2019-10-14,표준 등급,AO-10810,Anthony O'Donnell,기업,Pekanbaru,Riau,Indonesia,동남아시아,FUR-TA-10000665,가구,테이블,"Bevis Computer Table, Fully Assembled",786.2868,3,0.47,-563.8032
25,ID-2019-57809,2019-10-10,2019-10-14,표준 등급,AO-10810,Anthony O'Donnell,기업,Pekanbaru,Riau,Indonesia,동남아시아,OFF-AR-10001232,사무용품,미술용품,"Sanford Canvas, Fluorescent",75.5988,2,0.27,4.1388
26,IN-2020-76464,2020-06-13,2020-06-15,1등급,DK-13090,Dave Kipp,일반 소비자,Semarang,Jawa Tengah,Indonesia,동남아시아,OFF-AR-10000027,사무용품,미술용품,"Binney & Smith Pencil Sharpener, Easy-Erase",61.1667,3,0.27,10.0467
27,IN-2020-76464,2020-06-13,2020-06-15,1등급,DK-13090,Dave Kipp,일반 소비자,Semarang,Jawa Tengah,Indonesia,동남아시아,FUR-CH-10003009,가구,의자,"Novimex Swivel Stool, Adjustable",243.747,2,0.27,-6.693
28,IN-2018-32126,2018-09-03,2018-09-09,표준 등급,GA-14515,George Ashbrook,일반 소비자,Las Pinas,Metro Manila,Philippines,동남아시아,FUR-CH-10001313,가구,의자,"SAFCO Steel Folding Chair, Black",249.84,4,0.25,69.84
29,IN-2018-32126,2018-09-03,2018-09-09,표준 등급,GA-14515,George Ashbrook,일반 소비자,Las Pinas,Metro Manila,Philippines,동남아시아,OFF-ST-10003837,사무용품,보관함,"Tenex Lockers, Single Width",561.495,5,0.45,-316.605
30,IN-2021-12575,2021-11-24,2021-11-29,표준 등급,TG-21310,Toby Gnade,일반 소비자,Brisbane,Queensland,Australia,오세아니아,OFF-AR-10000058,사무용품,미술용품,"Stanley Canvas, Water Color",94.77,2,0.1,25.23
31,IN-2021-29697,2021-10-06,2021-10-06,당일,JC-15340,Jasper Cacioppo,일반 소비자,Rockhampton,Queensland,Australia,오세아니아,OFF-AR-10004486,사무용품,미술용품,"Sanford Canvas, Blue",136.404,3,0.1,24.174
32,IN-2021-29697,2021-10-06,2021-10-06,당일,JC-15340,Jasper Cacioppo,일반 소비자,Rockhampton,Queensland,Australia,오세아니아,OFF-PA-10000694,사무용품,용지,"Green Bar Message Books, Premium",64.233,3,0.1,15.633
33,IN-2021-29697,2021-10-06,2021-10-06,당일,JC-15340,Jasper Cacioppo,일반 소비자,Rockhampton,Queensland,Australia,오세아니아,TEC-CO-10003702,기술,복사기,"Brother Ink, Digital",793.476,6,0.1,343.836
34,IN-2020-55051,2020-07-30,2020-08-05,표준 등급,AM-10705,Anne McFarland,일반 소비자,Ho Chi Minh City,Ho Chí Minh City,Vietnam,동남아시아,OFF-LA-10002139,사무용품,레이블,"Novimex Color Coded Labels, Alphabetical",20.3184,2,0.17,0.2184
35,IN-2020-55051,2020-07-30,2020-08-05,표준 등급,AM-10705,Anne McFarland,일반 소비자,Ho Chi Minh City,Ho Chí Minh City,Vietnam,동남아시아,TEC-AC-10001500,기술,액세서리,"Logitech Memory Card, Erganomic",268.1535,5,0.47,-207.4965
36,IN-2020-55051,2020-07-30,2020-08-05,표준 등급,AM-10705,Anne McFarland,일반 소비자,Ho Chi Minh City,Ho Chí Minh City,Vietnam,동남아시아,TEC-AC-10003750,기술,액세서리,"Memorex Memory Card, Erganomic",318.2544,6,0.47,-114.1056
37,IN-2020-55051,2020-07-30,2020-08-05,표준 등급,AM-10705,Anne McFarland,일반 소비자,Ho Chi Minh City,Ho Chí Minh City,Vietnam,동남아시아,TEC-CO-10001954,기술,복사기,"Brother Wireless Fax, Laser",238.6503,1,0.37,22.7103
38,ID-2021-76618,2021-08-12,2021-08-14,2등급,RB-19330,Randy Bradley,일반 소비자,Perth,Western Australia,Australia,오세아니아,OFF-ST-10004830,사무용품,보관함,"Eldon Lockers, Blue",178.119,1,0.1,-15.861
39,ID-2021-76618,2021-08-12,2021-08-14,2등급,RB-19330,Randy Bradley,일반 소비자,Perth,Western Australia,Australia,오세아니아,FUR-CH-10003836,가구,의자,"Harbour Creations Rocking Chair, Red",397.143,3,0.1,70.533
40,ID-2021-76618,2021-08-12,2021-08-14,2등급,RB-19330,Randy Bradley,일반 소비자,Perth,Western Australia,Australia,오세아니아,OFF-BI-10000340,사무용품,바인더,"Avery Binding Machine, Clear",608.58,14,0.1,0
41,ID-2021-76618,2021-08-12,2021-08-14,2등급,RB-19330,Randy Bradley,일반 소비자,Perth,Western Australia,Australia,오세아니아,FUR-FU-10004158,가구,사무용 집기,"Deflect-O Frame, Black",99.036,1,0.1,29.706
42,ID-2020-34709,2020-04-16,2020-04-22,표준 등급,LC-16870,Lena Cacioppo,일반 소비자,Melbourne,Victoria,Australia,오세아니아,OFF-BI-10004098,사무용품,바인더,"Acco 3-Hole Punch, Durable",199.206,7,0.1,-20.034
43,IN-2019-70325,2019-01-12,2019-01-16,표준 등급,AB-10015,Aaron Bergman,일반 소비자,Kolhapur,Maharashtra,India,중앙아시아,TEC-AC-10002719,기술,액세서리,"Enermax Router, Programmable",1039.32,4,0,301.32
44,IN-2019-70325,2019-01-12,2019-01-16,표준 등급,AB-10015,Aaron Bergman,일반 소비자,Kolhapur,Maharashtra,India,중앙아시아,TEC-AC-10004054,기술,액세서리,"Memorex Keyboard, Bluetooth",142.68,2,0,45.6
45,IN-2018-38202,2018-08-18,2018-08-24,표준 등급,DV-13045,Darrin Van Huff,기업,Perth,Western Australia,Australia,오세아니아,TEC-AC-10001639,기술,액세서리,"Belkin Flash Drive, Erganomic",107.325,3,0.1,9.495
46,IN-2018-38202,2018-08-18,2018-08-24,표준 등급,DV-13045,Darrin Van Huff,기업,Perth,Western Australia,Australia,오세아니아,OFF-BI-10002632,사무용품,바인더,"Acco Binding Machine, Recycled",138.915,3,0.1,26.235
47,IN-2018-38202,2018-08-18,2018-08-24,표준 등급,DV-13045,Darrin Van Huff,기업,Perth,Western Australia,Australia,오세아니아,OFF-EN-10001789,사무용품,봉투,"Kraft Peel and Seal, Set of 50",36.882,2,0.1,-0.858
48,IN-2018-38202,2018-08-18,2018-08-24,표준 등급,DV-13045,Darrin Van Huff,기업,Perth,Western Australia,Australia,오세아니아,TEC-CO-10000786,기술,복사기,"Canon Fax Machine, Color",287.847,1,0.1,28.767
49,IN-2019-10790,2019-10-24,2019-10-28,표준 등급,JE-15610,Jim Epp,기업,Launceston,Tasmania,Australia,오세아니아,TEC-PH-10004300,기술,전화기,"Apple Office Telephone, Cordless",245.268,4,0.1,100.788
50,IN-2021-71235,2021-09-17,2021-09-17,당일,NC-18625,Noah Childs,기업,Maryborough,Queensland,Australia,오세아니아,FUR-BO-10000112,가구,책장,"Dania Corner Shelving, Pine",333.234,3,0.1,66.564
51,IN-2021-71235,2021-09-17,2021-09-17,당일,NC-18625,Noah Childs,기업,Maryborough,Queensland,Australia,오세아니아,OFF-PA-10000453,사무용품,용지,"Xerox Cards & Envelopes, 8.5 x 11",88.398,2,0.1,24.498
52,IN-2019-29571,2019-09-28,2019-10-04,표준 등급,MD-17860,Michael Dominguez,기업,Bareilly,Uttar Pradesh,India,중앙아시아,TEC-PH-10001457,기술,전화기,"Apple Smart Phone, Full Size",3187.5,5,0,350.55
53,ID-2021-17265,2021-03-01,2021-03-05,표준 등급,KB-16240,Karen Bern,기업,Kuala Lumpur,Kuala Lumpur,Malaysia,동남아시아,OFF-EN-10001491,사무용품,봉투,"Jiffy Interoffice Envelope, Set of 50",278.64,6,0,55.62
54,IN-2020-34702,2020-09-14,2020-09-19,표준 등급,EM-13960,Eric Murdock,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,OFF-ST-10000704,사무용품,보관함,"Rogers File Cart, Blue",379.809,3,0.1,113.859
55,IN-2020-34702,2020-09-14,2020-09-19,표준 등급,EM-13960,Eric Murdock,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,FUR-BO-10004806,가구,책장,"Safco Corner Shelving, Traditional",1210.626,9,0.1,376.596
56,IN-2020-34702,2020-09-14,2020-09-19,표준 등급,EM-13960,Eric Murdock,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,FUR-FU-10003939,가구,사무용 집기,"Tenex Photo Frame, Duo Pack",326.97,7,0.1,94.29
57,IN-2020-34702,2020-09-14,2020-09-19,표준 등급,EM-13960,Eric Murdock,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,FUR-FU-10001477,가구,사무용 집기,"Rubbermaid Stacking Tray, Black",181.44,8,0.1,24
58,IN-2020-34702,2020-09-14,2020-09-19,표준 등급,EM-13960,Eric Murdock,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,OFF-AR-10002797,사무용품,미술용품,"Sanford Highlighters, Blue",70.875,5,0.1,15.675
59,IN-2020-34702,2020-09-14,2020-09-19,표준 등급,EM-13960,Eric Murdock,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,TEC-AC-10000420,기술,액세서리,"Belkin Router, USB",466.128,2,0.1,176.088
60,IN-2020-34702,2020-09-14,2020-09-19,표준 등급,EM-13960,Eric Murdock,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,TEC-CO-10003393,기술,복사기,"Sharp Personal Copier, Digital",969.084,9,0.1,-75.546
61,IN-2020-34702,2020-09-14,2020-09-19,표준 등급,EM-13960,Eric Murdock,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,OFF-BI-10002853,사무용품,바인더,"Avery Binder Covers, Recycled",20.574,2,0.1,8.454
62,IN-2020-34702,2020-09-14,2020-09-19,표준 등급,EM-13960,Eric Murdock,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,OFF-AR-10000539,사무용품,미술용품,"Boston Markers, Easy-Erase",119.88,5,0.1,-4.02
63,IN-2019-20996,2019-09-25,2019-09-29,표준 등급,ML-18265,Muhammed Lee,일반 소비자,Kota Kinabalu,Sabah,Malaysia,동남아시아,OFF-PA-10002461,사무용품,용지,"Eaton Parchment Paper, Multicolor",59.52,4,0,17.76
64,ID-2019-28682,2019-05-13,2019-05-15,1등급,FO-14305,Frank Olsen,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,OFF-PA-10000215,사무용품,용지,"Eaton Parchment Paper, Premium",24.246,2,0.1,-0.834
65,ID-2019-28682,2019-05-13,2019-05-15,1등급,FO-14305,Frank Olsen,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,TEC-PH-10002602,기술,전화기,"Nokia Headset, Cordless",410.184,6,0.1,150.264
66,ID-2019-28682,2019-05-13,2019-05-15,1등급,FO-14305,Frank Olsen,일반 소비자,Mount Gambier,South Australia,Australia,오세아니아,FUR-CH-10004810,가구,의자,"Hon Swivel Stool, Set of Two",298.62,2,0.1,36.48
67,IN-2018-78823,2018-09-16,2018-09-21,표준 등급,ME-17725,Max Engle,일반 소비자,Raipur,Rajasthan,India,중앙아시아,OFF-ST-10000220,사무용품,보관함,"Rogers Shelving, Industrial",187.83,3,0,33.75
68,IN-2018-78823,2018-09-16,2018-09-21,표준 등급,ME-17725,Max Engle,일반 소비자,Raipur,Rajasthan,India,중앙아시아,FUR-FU-10004820,가구,사무용 집기,"Advantus Photo Frame, Erganomic",361.2,7,0,155.19
69,IN-2018-78823,2018-09-16,2018-09-21,표준 등급,ME-17725,Max Engle,일반 소비자,Raipur,Rajasthan,India,중앙아시아,OFF-FA-10000577,사무용품,잠금장치,"Stockwell Push Pins, 12 Pack",26.82,2,0,13.38
70,IN-2018-78823,2018-09-16,2018-09-21,표준 등급,ME-17725,Max Engle,일반 소비자,Raipur,Rajasthan,India,중앙아시아,OFF-FA-10004813,사무용품,잠금장치,"Stockwell Rubber Bands, Bulk Pack",49.59,3,0,12.33
71,IN-2018-78823,2018-09-16,2018-09-21,표준 등급,ME-17725,Max Engle,일반 소비자,Raipur,Rajasthan,India,중앙아시아,OFF-FA-10003218,사무용품,잠금장치,"Advantus Push Pins, Assorted Sizes",35.64,3,0,14.58
72,IN-2018-78823,2018-09-16,2018-09-21,표준 등급,ME-17725,Max Engle,일반 소비자,Raipur,Rajasthan,India,중앙아시아,OFF-LA-10004114,사무용품,레이블,"Avery File Folder Labels, Alphabetical",53.64,6,0,15.48
73,ID-2020-67952,2020-07-06,2020-07-10,표준 등급,CS-12175,Charles Sheldon,기업,Canberra,Australian Capital Territory,Australia,오세아니아,TEC-AC-10000111,기술,액세서리,"SanDisk Mouse, USB",23.112,1,0.4,-15.408
74,IN-2018-21983,2018-08-13,2018-08-17,표준 등급,CR-12580,Clay Rozendal,홈 오피스,Varanasi,Uttar Pradesh,India,중앙아시아,FUR-FU-10002525,가구,사무용 집기,"Deflect-O Door Stop, Erganomic",127.71,3,0,59.94
75,IN-2020-41681,2020-10-04,2020-10-09,표준 등급,MS-17710,Maurice Satty,일반 소비자,Bundaberg,Queensland,Australia,오세아니아,OFF-AR-10004780,사무용품,미술용품,"Stanley Markers, Blue",59.94,3,0.1,25.29
76,IN-2021-32091,2021-07-11,2021-07-15,표준 등급,CK-12595,Clytie Kelty,일반 소비자,Jingdezhen,Jiangxi,China,북아시아,FUR-FU-10000666,가구,사무용 집기,"Rubbermaid Frame, Black",219.78,2,0,59.34
77,IN-2021-32091,2021-07-11,2021-07-15,표준 등급,CK-12595,Clytie Kelty,일반 소비자,Jingdezhen,Jiangxi,China,북아시아,OFF-ST-10001824,사무용품,보관함,"Rogers Box, Single Width",72,3,0,4.32
78,IN-2019-65747,2019-04-11,2019-04-16,표준 등급,JC-15340,Jasper Cacioppo,일반 소비자,Brisbane,Queensland,Australia,오세아니아,OFF-BI-10002562,사무용품,바인더,"Ibico Binding Machine, Durable",190.512,4,0.1,65.592
79,ID-2019-20562,2019-06-05,2019-06-10,표준 등급,RM-19375,Raymond Messe,일반 소비자,Sydney,New South Wales,Australia,오세아니아,OFF-BI-10001967,사무용품,바인더,"Acco Binder, Recycled",13.959,1,0.1,-0.951
80,ID-2020-18448,2020-06-18,2020-06-22,표준 등급,NC-18415,Nathan Cano,일반 소비자,Bangkok,Bangkok,Thailand,동남아시아,OFF-LA-10002272,사무용품,레이블,"Smead File Folder Labels, Alphabetical",9.222,2,0.47,-6.798
81,ID-2020-18448,2020-06-18,2020-06-22,표준 등급,NC-18415,Nathan Cano,일반 소비자,Bangkok,Bangkok,Thailand,동남아시아,OFF-BI-10004868,사무용품,바인더,"Wilson Jones Hole Reinforcements, Durable",35.0343,7,0.17,-5.9157
82,ID-2020-18448,2020-06-18,2020-06-22,표준 등급,NC-18415,Nathan Cano,일반 소비자,Bangkok,Bangkok,Thailand,동남아시아,OFF-LA-10004848,사무용품,레이블,"Avery Legal Exhibit Labels, 5000 Label Set",18.6507,3,0.47,-1.4193
83,IN-2021-29753,2021-11-13,2021-11-19,표준 등급,NS-18640,Noel Staavos,기업,Baotou,Inner Mongolia,China,북아시아,OFF-LA-10003778,사무용품,레이블,"Novimex File Folder Labels, Alphabetical",32.28,4,0,8.28
84,IN-2021-29753,2021-11-13,2021-11-19,표준 등급,NS-18640,Noel Staavos,기업,Baotou,Inner Mongolia,China,북아시아,TEC-AC-10001278,기술,액세서리,"Enermax Flash Drive, USB",125.19,3,0,29.97
85,IN-2021-29753,2021-11-13,2021-11-19,표준 등급,NS-18640,Noel Staavos,기업,Baotou,Inner Mongolia,China,북아시아,OFF-ST-10000704,사무용품,보관함,"Rogers File Cart, Blue",562.68,4,0,208.08
86,IN-2021-55513,2021-12-09,2021-12-13,표준 등급,CR-12580,Clay Rozendal,홈 오피스,Kanpur,Uttar Pradesh,India,중앙아시아,OFF-ST-10003810,사무용품,보관함,"Tenex Box, Single Width",115.71,7,0,40.32
87,IN-2021-55513,2021-12-09,2021-12-13,표준 등급,CR-12580,Clay Rozendal,홈 오피스,Kanpur,Uttar Pradesh,India,중앙아시아,OFF-EN-10000114,사무용품,봉투,"Kraft Clasp Envelope, Security-Tint",45.6,4,0,0.84
88,IN-2021-76674,2021-09-14,2021-09-20,표준 등급,MZ-17515,Mary Zewe,기업,Kasugai,Aichi,Japan,북아시아,OFF-AR-10001405,사무용품,미술용품,"Binney & Smith Highlighters, Fluorescent",53.55,3,0,6.93
89,IN-2021-76674,2021-09-14,2021-09-20,표준 등급,MZ-17515,Mary Zewe,기업,Kasugai,Aichi,Japan,북아시아,FUR-CH-10002188,가구,의자,"SAFCO Steel Folding Chair, Set of Two",351.84,4,0,147.72
90,ID-2020-79964,2020-01-06,2020-01-07,1등급,RS-19765,Roland Schwarz,기업,Mackay,Queensland,Australia,오세아니아,OFF-ST-10003445,사무용품,보관함,"Rogers Folders, Industrial",84.159,3,0.1,-6.561
91,IN-2021-47463,2021-02-28,2021-03-05,표준 등급,ZC-21910,Zuschuss Carroll,일반 소비자,Canberra,Australian Capital Territory,Australia,오세아니아,OFF-BI-10002424,사무용품,바인더,"Avery Binder, Economy",15.48,2,0.4,0.24
92,IN-2018-42591,2018-11-26,2018-11-30,표준 등급,MA-17995,Michelle Arnett,홈 오피스,Melbourne,Victoria,Australia,오세아니아,OFF-LA-10000506,사무용품,레이블,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",39.42,4,0.1,8.22
93,ID-2021-17657,2021-06-25,2021-06-30,표준 등급,FC-14245,Frank Carlisle,홈 오피스,Bangkok,Bangkok,Thailand,동남아시아,OFF-PA-10004260,사무용품,용지,"Xerox Memo Slips, Recycled",28.4928,4,0.47,-5.4672
94,IN-2020-59755,2020-04-27,2020-04-30,2등급,PG-18820,Patrick Gardner,일반 소비자,Phnom Penh,Phnom Penh,Cambodia,동남아시아,FUR-CH-10004009,가구,의자,"SAFCO Rocking Chair, Set of Two",137.16,1,0,31.53
95,IN-2020-59755,2020-04-27,2020-04-30,2등급,PG-18820,Patrick Gardner,일반 소비자,Phnom Penh,Phnom Penh,Cambodia,동남아시아,FUR-BO-10000288,가구,책장,"Safco Classic Bookcase, Traditional",1314.45,3,0,39.42
96,ID-2018-74721,2018-05-05,2018-05-06,1등급,HG-14845,Harry Greene,일반 소비자,Yogyakarta,Yogyakarta,Indonesia,동남아시아,TEC-MA-10004298,기술,사무기기,"Panasonic Calculator, Durable",41.832,1,0.17,-8.088
97,ID-2018-74721,2018-05-05,2018-05-06,1등급,HG-14845,Harry Greene,일반 소비자,Yogyakarta,Yogyakarta,Indonesia,동남아시아,OFF-FA-10001010,사무용품,잠금장치,"Stockwell Clamps, Metal",82.044,8,0.47,-32.676
98,ID-2018-74721,2018-05-05,2018-05-06,1등급,HG-14845,Harry Greene,일반 소비자,Yogyakarta,Yogyakarta,Indonesia,동남아시아,OFF-AP-10002017,사무용품,가전 제품,"Cuisinart Blender, Red",55.6017,1,0.17,0.6417
99,IN-2021-60476,2021-11-03,2021-11-07,표준 등급,HM-14980,Henry MacAllister,일반 소비자,Shanghai,Shanghai,China,북아시아,OFF-FA-10001187,사무용품,잠금장치,"Stockwell Paper Clips, Bulk Pack",27.24,2,0,9.24
100,IN-2021-60476,2021-11-03,2021-11-07,표준 등급,HM-14980,Henry MacAllister,일반 소비자,Shanghai,Shanghai,China,북아시아,OFF-FA-10001045,사무용품,잠금장치,"Stockwell Staples, 12 Pack",49.2,5,0,3.9
101,IN-2021-60476,2021-11-03,2021-11-07,표준 등급,HM-14980,Henry MacAllister,일반 소비자,Shanghai,Shanghai,China,북아시아,OFF-EN-10003000,사무용품,봉투,"Cameo Mailers, Recycled",184.8,5,0,73.8
102,IN-2021-60476,2021-11-03,2021-11-07,표준 등급,HM-14980,Henry MacAllister,일반 소비자,Shanghai,Shanghai,China,북아시아,OFF-BI-10001904,사무용품,바인더,"Cardinal Binder Covers, Durable",27,2,0,13.2
103,IN-2021-60476,2021-11-03,2021-11-07,표준 등급,HM-14980,Henry MacAllister,일반 소비자,Shanghai,Shanghai,China,북아시아,OFF-AR-10002727,사무용품,미술용품,"Stanley Pencil Sharpener, Fluorescent",49.56,2,0,13.86
104,IN-2019-60371,2019-06-28,2019-06-30,1등급,BE-11335,Bill Eplett,홈 오피스,Taiyuan,Shanxi,China,북아시아,TEC-PH-10001917,기술,전화기,"Apple Signal Booster, Cordless",139.5,1,0,11.16
105,IN-2019-60371,2019-06-28,2019-06-30,1등급,BE-11335,Bill Eplett,홈 오피스,Taiyuan,Shanxi,China,북아시아,TEC-CO-10000778,기술,복사기,"Sharp Fax and Copier, Color",340.08,2,0,33.96
106,IN-2021-57410,2021-10-17,2021-10-23,표준 등급,CS-12250,Chris Selesnick,기업,Kuching,Sarawak,Malaysia,동남아시아,OFF-BI-10004334,사무용품,바인더,"Avery Hole Reinforcements, Durable",11.82,2,0,1.98
107,IN-2021-57410,2021-10-17,2021-10-23,표준 등급,CS-12250,Chris Selesnick,기업,Kuching,Sarawak,Malaysia,동남아시아,OFF-ST-10001026,사무용품,보관함,"Fellowes Trays, Single Width",287.1,5,0,129.15
108,IN-2021-57410,2021-10-17,2021-10-23,표준 등급,CS-12250,Chris Selesnick,기업,Kuching,Sarawak,Malaysia,동남아시아,OFF-EN-10003838,사무용품,봉투,"Cameo Peel and Seal, with clear poly window",24.54,1,0,7.11
109,ID-2019-10230,2019-07-07,2019-07-10,1등급,JC-16105,Julie Creighton,기업,Jakarta,Jakarta,Indonesia,동남아시아,FUR-BO-10004399,가구,책장,"Bush Floating Shelf Set, Pine",160.5366,1,0.07,-1.7334
110,ID-2019-10230,2019-07-07,2019-07-10,1등급,JC-16105,Julie Creighton,기업,Jakarta,Jakarta,Indonesia,동남아시아,OFF-LA-10004062,사무용품,레이블,"Hon Removable Labels, 5000 Label Set",16.3134,3,0.47,-0.3366
